report_id,game_id,seed,block,rotation,tournament,matchup,player_count,seat,ai_id,ai_name,personality,won,rank,victory_points,score,completed_rounds,completed_player_turns,steps,dnf,starting_tech,final_tech_count,decisions,searched_decisions,fallback_decisions,nodes,decision_ms
2026-08-05-format-pilot,mirror-p2-b0-admiral,51000,0,0,mirror,admiral,2,1,admiral,Admiral,3,false,2,10,10.000401,14,29,179,0,stasis-beam,0,81,66,0,2647,394.04546398483217
2026-08-05-format-pilot,mirror-p2-b0-admiral,51000,0,0,mirror,admiral,2,2,admiral,Admiral,3,true,1,12,12.0101,14,29,179,0,orbital-teleporter,1,98,83,0,3522,414.35175300203264
2026-08-05-format-pilot,mirror-p2-b0-pirate,51000,0,0,mirror,pirate,2,1,pirate,Pirate,4,true,1,12,12.010000999999999,17,34,216,0,stasis-beam,1,99,81,0,3354,446.53240799717605
2026-08-05-format-pilot,mirror-p2-b0-pirate,51000,0,0,mirror,pirate,2,2,pirate,Pirate,4,false,2,10,10.0201,17,34,216,0,orbital-teleporter,2,117,100,0,4338,551.9327579922974
2026-08-05-format-pilot,mirror-p2-b0-simple,51000,0,0,mirror,simple,2,1,simple,Simple,1,false,2,11,11.090205,41,83,458,0,stasis-beam,9,224,0,0,0,3.311875980347395
2026-08-05-format-pilot,mirror-p2-b0-simple,51000,0,0,mirror,simple,2,2,simple,Simple,1,true,1,13,13.1005,41,83,458,0,orbital-teleporter,10,234,0,0,0,3.015165016055107
2026-08-05-format-pilot,mirror-p2-b0-spacer,51000,0,0,mirror,spacer,2,1,spacer,Spacer,2,false,2,11,11.020202,16,33,221,0,stasis-beam,2,95,78,1,3654,530.0950859989971
2026-08-05-format-pilot,mirror-p2-b0-spacer,51000,0,0,mirror,spacer,2,2,spacer,Spacer,2,true,1,12,12.020000999999999,16,33,221,0,orbital-teleporter,2,126,109,0,4687,713.0798709932715
2026-08-05-format-pilot,mirror-p3-b0-admiral,51000,0,0,mirror,admiral,3,1,admiral,Admiral,3,false,3,8,8.010000999999999,14,43,242,0,stasis-beam,1,71,56,0,2678,172.42408999800682
2026-08-05-format-pilot,mirror-p3-b0-admiral,51000,0,0,mirror,admiral,3,2,admiral,Admiral,3,true,1,9,9.0102,14,43,242,0,orbital-teleporter,1,97,82,0,4170,262.61937599629164
2026-08-05-format-pilot,mirror-p3-b0-admiral,51000,0,0,mirror,admiral,3,3,admiral,Admiral,3,false,2,9,9.010003,14,43,242,0,polarity-device,1,74,60,0,2582,160.05345700122416
2026-08-05-format-pilot,mirror-p3-b0-pirate,51000,0,0,mirror,pirate,3,1,pirate,Pirate,4,false,3,7,7.000102,14,44,242,0,stasis-beam,0,74,59,0,2568,169.31696300208569
2026-08-05-format-pilot,mirror-p3-b0-pirate,51000,0,0,mirror,pirate,3,2,pirate,Pirate,4,false,2,7,7.010103999999999,14,44,242,0,orbital-teleporter,1,91,76,0,3133,185.6835800074041
2026-08-05-format-pilot,mirror-p3-b0-pirate,51000,0,0,mirror,pirate,3,3,pirate,Pirate,4,true,1,12,12.010003,14,44,242,0,polarity-device,1,77,62,0,3276,199.17495800741017
2026-08-05-format-pilot,mirror-p3-b0-simple,51000,0,0,mirror,simple,3,1,simple,Simple,1,false,3,8,8.030102,24,74,419,0,stasis-beam,3,122,0,0,0,1.686750015243888
2026-08-05-format-pilot,mirror-p3-b0-simple,51000,0,0,mirror,simple,3,2,simple,Simple,1,false,2,8,8.070300999999999,24,74,419,0,orbital-teleporter,7,163,0,0,0,2.186006000265479
2026-08-05-format-pilot,mirror-p3-b0-simple,51000,0,0,mirror,simple,3,3,simple,Simple,1,true,1,12,12.100102999999999,24,74,419,0,polarity-device,10,134,0,0,0,2.099694998934865
2026-08-05-format-pilot,mirror-p3-b0-spacer,51000,0,0,mirror,spacer,3,1,spacer,Spacer,2,false,2,8,8.0102,14,43,239,0,stasis-beam,1,76,61,0,3640,267.21329301036894
2026-08-05-format-pilot,mirror-p3-b0-spacer,51000,0,0,mirror,spacer,3,2,spacer,Spacer,2,true,1,11,11.02,14,43,239,0,orbital-teleporter,2,91,76,0,3550,233.68545799329877
2026-08-05-format-pilot,mirror-p3-b0-spacer,51000,0,0,mirror,spacer,3,3,spacer,Spacer,2,false,3,8,8.010000999999999,14,43,239,0,polarity-device,1,72,58,0,2495,209.21004300191998
2026-08-05-format-pilot,mirror-p4-b0-admiral,51000,0,0,mirror,admiral,4,1,admiral,Admiral,3,false,4,5,5.0102020000000005,14,57,306,0,stasis-beam,1,73,58,0,3173,264.74329600296915
2026-08-05-format-pilot,mirror-p4-b0-admiral,51000,0,0,mirror,admiral,4,2,admiral,Admiral,3,true,1,8,8.0102,14,57,306,0,orbital-teleporter,1,83,68,0,3377,240.255961002782
2026-08-05-format-pilot,mirror-p4-b0-admiral,51000,0,0,mirror,admiral,4,3,admiral,Admiral,3,false,3,6,6.020201,14,57,306,0,polarity-device,2,77,63,0,3006,234.59854101389647
2026-08-05-format-pilot,mirror-p4-b0-admiral,51000,0,0,mirror,admiral,4,4,admiral,Admiral,3,false,2,7,7.010103999999999,14,57,306,0,alien-monument,1,73,59,0,2004,197.67595599777997
2026-08-05-format-pilot,mirror-p4-b0-pirate,51000,0,0,mirror,pirate,4,1,pirate,Pirate,4,false,4,5,5.010001,14,58,301,0,stasis-beam,1,81,66,0,3357,251.27087200060487
2026-08-05-format-pilot,mirror-p4-b0-pirate,51000,0,0,mirror,pirate,4,2,pirate,Pirate,4,false,3,6,6.020099999999999,14,58,301,0,orbital-teleporter,2,86,71,0,3191,211.0800000037998
2026-08-05-format-pilot,mirror-p4-b0-pirate,51000,0,0,mirror,pirate,4,3,pirate,Pirate,4,true,1,9,9.01,14,58,301,0,polarity-device,1,70,55,0,2202,166.5430409964174
2026-08-05-format-pilot,mirror-p4-b0-pirate,51000,0,0,mirror,pirate,4,4,pirate,Pirate,4,false,2,8,8.020002999999999,14,58,301,0,alien-monument,2,64,50,0,2346,155.6075479928404
2026-08-05-format-pilot,mirror-p4-b0-simple,51000,0,0,mirror,simple,4,1,simple,Simple,1,false,4,4,4.0508,17,71,408,0,stasis-beam,5,100,0,0,0,1.347037985920906
2026-08-05-format-pilot,mirror-p4-b0-simple,51000,0,0,mirror,simple,4,2,simple,Simple,1,true,1,9,9.0807,17,71,408,0,orbital-teleporter,8,100,0,0,0,2.4501200076192617
2026-08-05-format-pilot,mirror-p4-b0-simple,51000,0,0,mirror,simple,4,3,simple,Simple,1,false,3,4,4.070304,17,71,408,0,polarity-device,7,104,0,0,0,1.9778350051492453
2026-08-05-format-pilot,mirror-p4-b0-simple,51000,0,0,mirror,simple,4,4,simple,Simple,1,false,2,9,9.020302,17,71,408,0,alien-monument,2,104,0,0,0,1.9035390075296164
