game_id,player_count,tournament,seat,ai_id,region,final_colonies,final_control,isolated_at_end,won,rank,victory_points
mirror-p2-b0-admiral,2,mirror,1,admiral,Heinlein Plains,1,0,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Pohl Foothills,0,0,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Van Vogt Mountains,1,1,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Bradbury Plateau,1,1,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Asimov Crater,0,0,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Herbert Valley,4,1,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Lem Badlands,0,0,0,0,2,10
mirror-p2-b0-admiral,2,mirror,1,admiral,Burroughs Desert,0,0,1,0,2,10
mirror-p2-b0-admiral,2,mirror,2,admiral,Heinlein Plains,1,0,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Pohl Foothills,1,1,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Van Vogt Mountains,0,0,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Bradbury Plateau,0,0,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Asimov Crater,1,1,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Herbert Valley,3,0,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Lem Badlands,1,1,0,1,1,12
mirror-p2-b0-admiral,2,mirror,2,admiral,Burroughs Desert,1,1,1,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Heinlein Plains,1,1,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Pohl Foothills,0,0,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Van Vogt Mountains,1,1,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Bradbury Plateau,0,0,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Asimov Crater,2,1,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Herbert Valley,3,0,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Lem Badlands,1,1,0,1,1,12
mirror-p2-b0-pirate,2,mirror,1,pirate,Burroughs Desert,0,0,1,1,1,12
mirror-p2-b0-pirate,2,mirror,2,pirate,Heinlein Plains,0,0,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Pohl Foothills,1,1,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Van Vogt Mountains,0,0,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Bradbury Plateau,1,1,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Asimov Crater,1,0,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Herbert Valley,3,0,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Lem Badlands,0,0,0,0,2,10
mirror-p2-b0-pirate,2,mirror,2,pirate,Burroughs Desert,1,1,1,0,2,10
mirror-p2-b0-simple,2,mirror,1,simple,Heinlein Plains,0,0,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Pohl Foothills,0,0,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Van Vogt Mountains,0,0,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Bradbury Plateau,3,1,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Asimov Crater,1,1,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Herbert Valley,0,0,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Lem Badlands,2,0,0,0,2,11
mirror-p2-b0-simple,2,mirror,1,simple,Burroughs Desert,1,1,0,0,2,11
mirror-p2-b0-simple,2,mirror,2,simple,Heinlein Plains,1,1,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Pohl Foothills,1,1,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Van Vogt Mountains,1,1,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Bradbury Plateau,2,0,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Asimov Crater,0,0,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Herbert Valley,1,1,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Lem Badlands,2,0,0,1,1,13
mirror-p2-b0-simple,2,mirror,2,simple,Burroughs Desert,0,0,0,1,1,13
mirror-p2-b0-spacer,2,mirror,1,spacer,Heinlein Plains,0,0,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Pohl Foothills,0,0,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Van Vogt Mountains,1,1,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Bradbury Plateau,1,0,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Asimov Crater,3,1,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Herbert Valley,1,1,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Lem Badlands,1,1,0,0,2,11
mirror-p2-b0-spacer,2,mirror,1,spacer,Burroughs Desert,0,0,1,0,2,11
mirror-p2-b0-spacer,2,mirror,2,spacer,Heinlein Plains,2,1,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Pohl Foothills,1,1,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Van Vogt Mountains,0,0,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Bradbury Plateau,2,1,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Asimov Crater,2,0,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Herbert Valley,0,0,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Lem Badlands,0,0,0,1,1,12
mirror-p2-b0-spacer,2,mirror,2,spacer,Burroughs Desert,1,1,1,1,1,12
mirror-p3-b0-admiral,3,mirror,1,admiral,Heinlein Plains,1,0,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Pohl Foothills,0,0,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Van Vogt Mountains,0,0,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Bradbury Plateau,1,1,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Asimov Crater,2,1,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Herbert Valley,1,1,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Lem Badlands,0,0,0,0,3,8
mirror-p3-b0-admiral,3,mirror,1,admiral,Burroughs Desert,0,0,1,0,3,8
mirror-p3-b0-admiral,3,mirror,2,admiral,Heinlein Plains,2,1,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Pohl Foothills,2,1,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Van Vogt Mountains,1,0,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Bradbury Plateau,0,0,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Asimov Crater,1,0,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Herbert Valley,0,0,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Lem Badlands,1,0,0,1,1,9
mirror-p3-b0-admiral,3,mirror,2,admiral,Burroughs Desert,0,0,1,1,1,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Heinlein Plains,0,0,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Pohl Foothills,1,0,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Van Vogt Mountains,2,1,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Bradbury Plateau,0,0,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Asimov Crater,0,0,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Herbert Valley,0,0,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Lem Badlands,2,1,0,0,2,9
mirror-p3-b0-admiral,3,mirror,3,admiral,Burroughs Desert,1,1,1,0,2,9
mirror-p3-b0-pirate,3,mirror,1,pirate,Heinlein Plains,0,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Pohl Foothills,0,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Van Vogt Mountains,0,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Bradbury Plateau,0,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Asimov Crater,1,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Herbert Valley,5,1,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Lem Badlands,0,0,0,0,3,7
mirror-p3-b0-pirate,3,mirror,1,pirate,Burroughs Desert,0,0,1,0,3,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Heinlein Plains,0,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Pohl Foothills,0,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Van Vogt Mountains,0,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Bradbury Plateau,1,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Asimov Crater,0,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Herbert Valley,4,0,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Lem Badlands,1,1,0,0,2,7
mirror-p3-b0-pirate,3,mirror,2,pirate,Burroughs Desert,0,0,1,0,2,7
mirror-p3-b0-pirate,3,mirror,3,pirate,Heinlein Plains,1,1,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Pohl Foothills,1,1,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Van Vogt Mountains,1,1,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Bradbury Plateau,2,1,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Asimov Crater,1,0,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Herbert Valley,0,0,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Lem Badlands,0,0,0,1,1,12
mirror-p3-b0-pirate,3,mirror,3,pirate,Burroughs Desert,1,1,1,1,1,12
mirror-p3-b0-simple,3,mirror,1,simple,Heinlein Plains,0,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Pohl Foothills,2,1,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Van Vogt Mountains,1,1,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Bradbury Plateau,0,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Asimov Crater,1,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Herbert Valley,1,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Lem Badlands,1,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,1,simple,Burroughs Desert,0,0,0,0,3,8
mirror-p3-b0-simple,3,mirror,2,simple,Heinlein Plains,1,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Pohl Foothills,1,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Van Vogt Mountains,0,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Bradbury Plateau,1,1,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Asimov Crater,2,1,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Herbert Valley,0,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Lem Badlands,0,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,2,simple,Burroughs Desert,1,0,0,0,2,8
mirror-p3-b0-simple,3,mirror,3,simple,Heinlein Plains,2,1,0,1,1,12
mirror-p3-b0-simple,3,mirror,3,simple,Pohl Foothills,0,0,0,1,1,12
mirror-p3-b0-simple,3,mirror,3,simple,Van Vogt Mountains,0,0,0,1,1,12
mirror-p3-b0-simple,3,mirror,3,simple,Bradbury Plateau,0,0,0,1,1,12
