game_id,player_count,tournament,player_turn,round,current_seat,minimum_colonies_left,total_queued_colonies,maximum_active_ships,estimated_rounds_remaining,actual_rounds_remaining,actual_player_turns_remaining
mirror-p2-b0-admiral,2,mirror,0,0,1,8,0,3,8,17,34
mirror-p2-b0-admiral,2,mirror,1,0,2,8,0,3,8,16.5,33
mirror-p2-b0-admiral,2,mirror,2,1,1,8,0,3,8,16,32
mirror-p2-b0-admiral,2,mirror,3,1,2,8,0,4,8,15.5,31
mirror-p2-b0-admiral,2,mirror,4,2,1,8,0,4,8,15,30
mirror-p2-b0-admiral,2,mirror,5,2,2,7,0,4,7,14.5,29
mirror-p2-b0-admiral,2,mirror,6,3,1,7,0,3,7,14,28
mirror-p2-b0-admiral,2,mirror,7,3,2,7,0,3,7,13.5,27
mirror-p2-b0-admiral,2,mirror,8,4,1,7,0,3,7,13,26
mirror-p2-b0-admiral,2,mirror,9,4,2,7,0,4,7,12.5,25
mirror-p2-b0-admiral,2,mirror,10,5,1,7,0,4,7,12,24
mirror-p2-b0-admiral,2,mirror,11,5,2,6,0,4,6,11.5,23
mirror-p2-b0-admiral,2,mirror,12,6,1,6,0,3,6,11,22
mirror-p2-b0-admiral,2,mirror,13,6,2,6,0,4,6,10.5,21
mirror-p2-b0-admiral,2,mirror,14,7,1,6,0,4,6,10,20
mirror-p2-b0-admiral,2,mirror,15,7,2,6,0,5,6,9.5,19
mirror-p2-b0-admiral,2,mirror,16,8,1,6,0,5,6,9,18
mirror-p2-b0-admiral,2,mirror,17,8,2,5,0,5,5,8.5,17
mirror-p2-b0-admiral,2,mirror,18,9,1,5,0,4,5,8,16
mirror-p2-b0-admiral,2,mirror,19,9,2,4,0,4,4,7.5,15
mirror-p2-b0-admiral,2,mirror,20,10,1,4,0,5,4,7,14
mirror-p2-b0-admiral,2,mirror,21,10,2,3,0,5,3,6.5,13
mirror-p2-b0-admiral,2,mirror,22,11,1,3,0,6,3,6,12
mirror-p2-b0-admiral,2,mirror,23,11,2,3,0,6,3,5.5,11
mirror-p2-b0-admiral,2,mirror,24,12,1,3,0,6,3,5,10
mirror-p2-b0-admiral,2,mirror,25,12,2,3,0,6,3,4.5,9
mirror-p2-b0-admiral,2,mirror,26,13,1,3,0,6,3,4,8
mirror-p2-b0-admiral,2,mirror,27,13,2,2,0,6,2,3.5,7
mirror-p2-b0-admiral,2,mirror,28,14,1,2,0,6,2,3,6
mirror-p2-b0-admiral,2,mirror,29,14,2,2,0,6,2,2.5,5
mirror-p2-b0-admiral,2,mirror,30,15,1,2,0,6,2,2,4
mirror-p2-b0-admiral,2,mirror,31,15,2,2,0,5,2,1.5,3
mirror-p2-b0-admiral,2,mirror,32,16,1,1,0,5,1,1,2
mirror-p2-b0-admiral,2,mirror,33,16,2,1,0,5,1,0.5,1
mirror-p2-b0-pirate,2,mirror,0,0,1,8,0,3,8,17.5,35
mirror-p2-b0-pirate,2,mirror,1,0,2,8,0,3,8,17,34
mirror-p2-b0-pirate,2,mirror,2,1,1,8,0,3,8,16.5,33
mirror-p2-b0-pirate,2,mirror,3,1,2,8,0,4,8,16,32
mirror-p2-b0-pirate,2,mirror,4,2,1,8,0,4,8,15.5,31
mirror-p2-b0-pirate,2,mirror,5,2,2,7,0,4,7,15,30
mirror-p2-b0-pirate,2,mirror,6,3,1,7,0,3,7,14.5,29
mirror-p2-b0-pirate,2,mirror,7,3,2,7,0,3,7,14,28
mirror-p2-b0-pirate,2,mirror,8,4,1,7,0,3,7,13.5,27
mirror-p2-b0-pirate,2,mirror,9,4,2,7,0,4,7,13,26
mirror-p2-b0-pirate,2,mirror,10,5,1,7,0,4,7,12.5,25
mirror-p2-b0-pirate,2,mirror,11,5,2,6,0,4,6,12,24
mirror-p2-b0-pirate,2,mirror,12,6,1,6,0,3,6,11.5,23
mirror-p2-b0-pirate,2,mirror,13,6,2,6,0,4,6,11,22
mirror-p2-b0-pirate,2,mirror,14,7,1,6,0,4,6,10.5,21
mirror-p2-b0-pirate,2,mirror,15,7,2,6,0,5,6,10,20
mirror-p2-b0-pirate,2,mirror,16,8,1,6,0,5,6,9.5,19
mirror-p2-b0-pirate,2,mirror,17,8,2,5,0,5,5,9,18
mirror-p2-b0-pirate,2,mirror,18,9,1,5,0,4,5,8.5,17
mirror-p2-b0-pirate,2,mirror,19,9,2,5,0,4,5,8,16
mirror-p2-b0-pirate,2,mirror,20,10,1,5,0,4,5,7.5,15
mirror-p2-b0-pirate,2,mirror,21,10,2,5,0,5,5,7,14
mirror-p2-b0-pirate,2,mirror,22,11,1,4,0,5,4,6.5,13
mirror-p2-b0-pirate,2,mirror,23,11,2,4,0,5,4,6,12
mirror-p2-b0-pirate,2,mirror,24,12,1,4,0,5,4,5.5,11
mirror-p2-b0-pirate,2,mirror,25,12,2,4,0,5,4,5,10
mirror-p2-b0-pirate,2,mirror,26,13,1,3,0,5,3,4.5,9
mirror-p2-b0-pirate,2,mirror,27,13,2,3,0,5,3,4,8
mirror-p2-b0-pirate,2,mirror,28,14,1,3,0,4,3,3.5,7
mirror-p2-b0-pirate,2,mirror,29,14,2,3,0,5,3,3,6
mirror-p2-b0-pirate,2,mirror,30,15,1,3,0,5,3,2.5,5
mirror-p2-b0-pirate,2,mirror,31,15,2,2,0,5,2,2,4
mirror-p2-b0-pirate,2,mirror,32,16,1,2,0,4,2,1.5,3
mirror-p2-b0-pirate,2,mirror,33,16,2,1,0,4,1,1,2
mirror-p2-b0-pirate,2,mirror,34,17,1,1,0,4,1,0.5,1
mirror-p2-b0-simple,2,mirror,0,0,1,8,0,3,8,28.5,57
mirror-p2-b0-simple,2,mirror,1,0,2,8,0,3,8,28,56
mirror-p2-b0-simple,2,mirror,2,1,1,8,0,3,8,27.5,55
mirror-p2-b0-simple,2,mirror,3,1,2,8,0,3,8,27,54
mirror-p2-b0-simple,2,mirror,4,2,1,8,0,3,8,26.5,53
mirror-p2-b0-simple,2,mirror,5,2,2,8,0,4,8,26,52
mirror-p2-b0-simple,2,mirror,6,3,1,8,0,4,8,25.5,51
mirror-p2-b0-simple,2,mirror,7,3,2,8,0,4,8,25,50
mirror-p2-b0-simple,2,mirror,8,4,1,8,0,4,8,24.5,49
mirror-p2-b0-simple,2,mirror,9,4,2,8,0,4,8,24,48
mirror-p2-b0-simple,2,mirror,10,5,1,8,0,4,8,23.5,47
mirror-p2-b0-simple,2,mirror,11,5,2,7,0,4,7,23,46
mirror-p2-b0-simple,2,mirror,12,6,1,7,0,3,7,22.5,45
mirror-p2-b0-simple,2,mirror,13,6,2,6,0,4,6,22,44
mirror-p2-b0-simple,2,mirror,14,7,1,6,0,3,6,21.5,43
mirror-p2-b0-simple,2,mirror,15,7,2,6,0,4,6,21,42
mirror-p2-b0-simple,2,mirror,16,8,1,6,0,4,6,20.5,41
mirror-p2-b0-simple,2,mirror,17,8,2,6,0,4,6,20,40
mirror-p2-b0-simple,2,mirror,18,9,1,6,0,4,6,19.5,39
mirror-p2-b0-simple,2,mirror,19,9,2,6,0,4,6,19,38
mirror-p2-b0-simple,2,mirror,20,10,1,6,0,4,6,18.5,37
mirror-p2-b0-simple,2,mirror,21,10,2,5,0,4,5,18,36
mirror-p2-b0-simple,2,mirror,22,11,1,5,0,3,5,17.5,35
mirror-p2-b0-simple,2,mirror,23,11,2,5,0,3,5,17,34
mirror-p2-b0-simple,2,mirror,24,12,1,5,0,4,5,16.5,33
mirror-p2-b0-simple,2,mirror,25,12,2,5,0,4,5,16,32
mirror-p2-b0-simple,2,mirror,26,13,1,5,0,5,5,15.5,31
mirror-p2-b0-simple,2,mirror,27,13,2,5,0,5,5,15,30
mirror-p2-b0-simple,2,mirror,28,14,1,5,0,5,5,14.5,29
mirror-p2-b0-simple,2,mirror,29,14,2,5,0,5,5,14,28
mirror-p2-b0-simple,2,mirror,30,15,1,5,0,5,5,13.5,27
mirror-p2-b0-simple,2,mirror,31,15,2,4,0,5,4,13,26
mirror-p2-b0-simple,2,mirror,32,16,1,4,0,5,4,12.5,25
mirror-p2-b0-simple,2,mirror,33,16,2,4,0,5,4,12,24
mirror-p2-b0-simple,2,mirror,34,17,1,4,0,5,4,11.5,23
mirror-p2-b0-simple,2,mirror,35,17,2,4,0,4,4,11,22
mirror-p2-b0-simple,2,mirror,36,18,1,4,0,4,4,10.5,21
mirror-p2-b0-simple,2,mirror,37,18,2,4,0,5,4,10,20
mirror-p2-b0-simple,2,mirror,38,19,1,4,0,5,4,9.5,19
mirror-p2-b0-simple,2,mirror,39,19,2,3,0,5,3,9,18
mirror-p2-b0-simple,2,mirror,40,20,1,3,0,4,3,8.5,17
mirror-p2-b0-simple,2,mirror,41,20,2,3,0,4,3,8,16
mirror-p2-b0-simple,2,mirror,42,21,1,3,0,4,3,7.5,15
mirror-p2-b0-simple,2,mirror,43,21,2,2,0,4,2,7,14
mirror-p2-b0-simple,2,mirror,44,22,1,2,0,4,2,6.5,13
mirror-p2-b0-simple,2,mirror,45,22,2,1,0,4,1,6,12
mirror-p2-b0-simple,2,mirror,46,23,1,1,0,4,1,5.5,11
mirror-p2-b0-simple,2,mirror,47,23,2,1,0,3,1,5,10
mirror-p2-b0-simple,2,mirror,48,24,1,1,0,3,1,4.5,9
mirror-p2-b0-simple,2,mirror,49,24,2,1,0,3,1,4,8
mirror-p2-b0-simple,2,mirror,50,25,1,1,0,3,1,3.5,7
mirror-p2-b0-simple,2,mirror,51,25,2,1,0,3,1,3,6
mirror-p2-b0-simple,2,mirror,52,26,1,1,0,3,1,2.5,5
mirror-p2-b0-simple,2,mirror,53,26,2,1,0,4,1,2,4
mirror-p2-b0-simple,2,mirror,54,27,1,1,0,4,1,1.5,3
mirror-p2-b0-simple,2,mirror,55,27,2,1,0,4,1,1,2
mirror-p2-b0-simple,2,mirror,56,28,1,1,0,4,1,0.5,1
mirror-p2-b0-spacer,2,mirror,0,0,1,8,0,3,8,15.5,31
mirror-p2-b0-spacer,2,mirror,1,0,2,8,0,3,8,15,30
mirror-p2-b0-spacer,2,mirror,2,1,1,8,0,3,8,14.5,29
mirror-p2-b0-spacer,2,mirror,3,1,2,8,0,4,8,14,28
mirror-p2-b0-spacer,2,mirror,4,2,1,8,0,4,8,13.5,27
mirror-p2-b0-spacer,2,mirror,5,2,2,7,0,4,7,13,26
mirror-p2-b0-spacer,2,mirror,6,3,1,7,0,4,7,12.5,25
mirror-p2-b0-spacer,2,mirror,7,3,2,6,0,4,6,12,24
mirror-p2-b0-spacer,2,mirror,8,4,1,6,0,4,6,11.5,23
mirror-p2-b0-spacer,2,mirror,9,4,2,6,0,4,6,11,22
mirror-p2-b0-spacer,2,mirror,10,5,1,6,0,4,6,10.5,21
mirror-p2-b0-spacer,2,mirror,11,5,2,6,0,5,6,10,20
mirror-p2-b0-spacer,2,mirror,12,6,1,6,0,5,6,9.5,19
mirror-p2-b0-spacer,2,mirror,13,6,2,6,0,5,6,9,18
mirror-p2-b0-spacer,2,mirror,14,7,1,5,0,5,5,8.5,17
mirror-p2-b0-spacer,2,mirror,15,7,2,5,0,5,5,8,16
mirror-p2-b0-spacer,2,mirror,16,8,1,5,0,5,5,7.5,15
mirror-p2-b0-spacer,2,mirror,17,8,2,4,0,5,4,7,14
mirror-p2-b0-spacer,2,mirror,18,9,1,4,0,5,4,6.5,13
mirror-p2-b0-spacer,2,mirror,19,9,2,4,0,5,4,6,12
mirror-p2-b0-spacer,2,mirror,20,10,1,4,0,5,4,5.5,11
mirror-p2-b0-spacer,2,mirror,21,10,2,3,0,5,3,5,10
mirror-p2-b0-spacer,2,mirror,22,11,1,3,0,5,3,4.5,9
mirror-p2-b0-spacer,2,mirror,23,11,2,3,0,5,3,4,8
mirror-p2-b0-spacer,2,mirror,24,12,1,3,0,5,3,3.5,7
mirror-p2-b0-spacer,2,mirror,25,12,2,2,0,5,2,3,6
mirror-p2-b0-spacer,2,mirror,26,13,1,2,0,5,2,2.5,5
mirror-p2-b0-spacer,2,mirror,27,13,2,2,0,6,2,2,4
mirror-p2-b0-spacer,2,mirror,28,14,1,1,0,6,1,1.5,3
mirror-p2-b0-spacer,2,mirror,29,14,2,1,0,6,1,1,2
mirror-p2-b0-spacer,2,mirror,30,15,1,1,0,6,1,0.5,1
mirror-p2-b1-admiral,2,mirror,0,0,1,8,0,3,8,16.5,33
mirror-p2-b1-admiral,2,mirror,1,0,2,8,0,3,8,16,32
mirror-p2-b1-admiral,2,mirror,2,1,1,8,0,4,8,15.5,31
mirror-p2-b1-admiral,2,mirror,3,1,2,8,0,4,8,15,30
mirror-p2-b1-admiral,2,mirror,4,2,1,8,0,4,8,14.5,29
mirror-p2-b1-admiral,2,mirror,5,2,2,8,0,4,8,14,28
mirror-p2-b1-admiral,2,mirror,6,3,1,8,0,5,8,13.5,27
mirror-p2-b1-admiral,2,mirror,7,3,2,7,0,5,7,13,26
mirror-p2-b1-admiral,2,mirror,8,4,1,7,0,5,7,12.5,25
mirror-p2-b1-admiral,2,mirror,9,4,2,7,0,5,7,12,24
mirror-p2-b1-admiral,2,mirror,10,5,1,7,0,5,7,11.5,23
mirror-p2-b1-admiral,2,mirror,11,5,2,7,0,5,7,11,22
mirror-p2-b1-admiral,2,mirror,12,6,1,6,0,5,6,10.5,21
mirror-p2-b1-admiral,2,mirror,13,6,2,6,0,6,6,10,20
mirror-p2-b1-admiral,2,mirror,14,7,1,6,0,6,6,9.5,19
mirror-p2-b1-admiral,2,mirror,15,7,2,6,0,6,6,9,18
mirror-p2-b1-admiral,2,mirror,16,8,1,6,0,5,6,8.5,17
mirror-p2-b1-admiral,2,mirror,17,8,2,5,0,5,5,8,16
mirror-p2-b1-admiral,2,mirror,18,9,1,5,0,5,5,7.5,15
mirror-p2-b1-admiral,2,mirror,19,9,2,4,0,5,4,7,14
mirror-p2-b1-admiral,2,mirror,20,10,1,4,0,5,4,6.5,13
